min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.09524524926470561,17.306449716712155,1.7696049836620498
2,,euclidean,leaf,0.04012327898142354,10.840884412838397,1.7333174242785965
2,,manhattan,eom,0.0701382281292247,15.983545927312617,1.7418328824518823
2,,manhattan,leaf,0.024007959204348863,10.946729687390475,1.7049800115506446
2,5.0,euclidean,eom,-0.21462348149571317,244.4574973156154,1.4126238589552358
2,5.0,euclidean,leaf,-0.3234313141374681,10.024976615875921,1.7937192533937514
2,5.0,manhattan,eom,-0.2351726425323721,493.71944368377206,2.2176997665439
2,5.0,manhattan,leaf,-0.3539409123677859,9.489887495667867,1.8043369645369485
2,10.0,euclidean,eom,-0.05542727733915514,3516.3740174576037,3.3116275994162248
2,10.0,euclidean,leaf,-0.5498462034858042,10.187978822215465,1.660380925759944
2,10.0,manhattan,eom,-0.06830492409632301,2810.293663494928,3.1763103460776643
2,10.0,manhattan,leaf,-0.5582000047909026,9.40592211326068,1.718228080410057
5,,euclidean,eom,-0.18196006519151206,2214.3344717759255,3.6837444709917238
5,,euclidean,leaf,-0.24095519148344674,19.69329518253301,1.8356882817723894
5,,manhattan,eom,-0.1112962277390212,2338.7079859020855,2.7301504952113445
5,,manhattan,leaf,-0.25280490228083524,21.368895422092024,1.890561840495954
5,5.0,euclidean,eom,-0.18196006519151206,2214.3344717759255,3.6837444709917238
5,5.0,euclidean,leaf,-0.24095519148344674,19.69329518253301,1.8356882817723894
5,5.0,manhattan,eom,-0.1112962277390212,2338.7079859020855,2.7301504952113445
5,5.0,manhattan,leaf,-0.25280490228083524,21.368895422092024,1.890561840495954
5,10.0,euclidean,eom,0.10206573623297822,6569.462761616775,4.144299304418483
5,10.0,euclidean,leaf,-0.46503906529387307,23.292577172710587,1.7844076520951833
5,10.0,manhattan,eom,0.09253529002087721,5306.2532810066605,3.701398210185072
5,10.0,manhattan,leaf,-0.47939242266679083,23.600984719792024,1.7474177760878111
10,,euclidean,eom,0.3058843800504177,8938.90914144067,4.2121266267985344
10,,euclidean,leaf,-0.407456044083787,37.44763120051264,1.7706132823865637
10,,manhattan,eom,0.09277489155005188,6252.680833498101,3.9369363143051053
10,,manhattan,leaf,-0.4033814067378604,40.388600378076575,1.7352633082639293
10,5.0,euclidean,eom,0.1631646286142777,4860.453677218349,3.3354216969976767
10,5.0,euclidean,leaf,-0.25289715885734654,39.249064365273284,1.7464536103549606
10,5.0,manhattan,eom,0.019667745223581057,3465.636693393142,2.8021459342926645
10,5.0,manhattan,leaf,-0.2636705463201957,37.13561520461832,1.7277027679833743
10,10.0,euclidean,eom,0.3058843800504177,8938.90914144067,4.2121266267985344
10,10.0,euclidean,leaf,-0.407456044083787,37.44763120051264,1.7706132823865637
10,10.0,manhattan,eom,0.09277489155005188,6252.680833498101,3.9369363143051053
10,10.0,manhattan,leaf,-0.4033814067378604,40.388600378076575,1.7352633082639293
