min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.052879094164817744,12.047035521990598,1.7487362821160408
2,,euclidean,leaf,0.029549337618672587,7.616841980225231,1.5397454016025645
2,,manhattan,eom,0.034708372712027376,9.647503566820536,1.5155198580715281
2,,manhattan,leaf,-0.021634763443569866,6.380787759426028,1.7158720581591784
2,5.0,euclidean,eom,0.33312667612599256,253.9316738624893,7.812564430063579
2,5.0,euclidean,leaf,-0.36396158358972025,7.688807772397086,1.4823928510122262
2,5.0,manhattan,eom,0.30068338490927377,224.6432361182303,5.544412720776703
2,5.0,manhattan,leaf,-0.3912206247369412,7.723091838138282,1.5209986330977323
2,10.0,euclidean,eom,0.2644754606454358,197.59646485344427,1.774322031494825
2,10.0,euclidean,leaf,-0.5247864528442469,10.203660471228313,1.2985163118950085
2,10.0,manhattan,eom,0.21499582935893974,180.1642331850936,1.7803534434604547
2,10.0,manhattan,leaf,-0.49292700738469186,16.505612728303344,1.5423721256455045
5,,euclidean,eom,0.1738163119894892,124.19330475252382,1.938284171428664
5,,euclidean,leaf,-0.3322646125497024,15.371021873472227,1.378791802724203
5,,manhattan,eom,0.16711793447266826,120.61974896314645,1.9377026473255785
5,,manhattan,leaf,-0.2713402500875963,25.371892850095662,1.4575126315859743
5,5.0,euclidean,eom,0.1738163119894892,124.19330475252382,1.938284171428664
5,5.0,euclidean,leaf,-0.3322646125497024,15.371021873472227,1.378791802724203
5,5.0,manhattan,eom,0.16711793447266826,120.61974896314645,1.9377026473255785
5,5.0,manhattan,leaf,-0.2713402500875963,25.371892850095662,1.4575126315859743
5,10.0,euclidean,eom,0.36753627010077533,244.11281293694753,1.5052301249983961
5,10.0,euclidean,leaf,-0.24799156898816324,47.677201482680644,1.41427050101685
5,10.0,manhattan,eom,0.3405189733766577,224.4355953825749,1.4707572342249555
5,10.0,manhattan,leaf,-0.34289305804621084,30.409612074795813,1.3354189255007967
10,,euclidean,eom,0.3641773188608229,288.3289691070418,1.7981077085785406
10,,euclidean,leaf,-0.20669988742274853,56.80360647274436,1.7437334122138433
10,,manhattan,eom,0.17681169611938435,139.53243351333455,2.2479198474808486
10,,manhattan,leaf,-0.2552788817101787,47.089095258327674,1.6626843764801746
10,5.0,euclidean,eom,0.33437448220165944,304.75511124002685,10.085747246652456
10,5.0,euclidean,leaf,-0.1494459640362534,53.60864285697685,1.8360460775078544
10,5.0,manhattan,eom,0.39689392017242286,337.17345723999523,2.1075126306521907
10,5.0,manhattan,leaf,-0.1131960956362823,62.42336869350219,1.5444480227356019
10,10.0,euclidean,eom,0.3641773188608229,288.3289691070418,1.7981077085785406
10,10.0,euclidean,leaf,-0.20669988742274853,56.80360647274436,1.7437334122138433
10,10.0,manhattan,eom,0.17681169611938435,139.53243351333455,2.2479198474808486
10,10.0,manhattan,leaf,-0.2552788817101787,47.089095258327674,1.6626843764801746
