min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.4732598739695867,272.11162277889895,1.3824575359255826
2,,euclidean,leaf,-0.02826265506102699,9.879292826711403,1.2338068196588574
2,,manhattan,eom,0.440007240323839,206.93120845072642,1.2212647693296674
2,,manhattan,leaf,-0.04318141421841039,9.445256075352578,1.2438442655409772
2,5.0,euclidean,eom,0.6086819280431873,2053.1668261246828,1.3033234388599373
2,5.0,euclidean,leaf,-0.37826310350254044,8.85687652286365,1.4325693077037636
2,5.0,manhattan,eom,0.6064031885506171,1796.2191710794255,1.3938406652928492
2,5.0,manhattan,leaf,-0.40485797023559045,9.183959513534843,1.2801276876181444
2,10.0,euclidean,eom,0.6271615248756547,1622.5126448583774,2.1755102759561162
2,10.0,euclidean,leaf,-0.21199619244007092,24.61694544526098,1.8152532540502042
2,10.0,manhattan,eom,0.6195025652904282,1455.0474306060555,2.23677245125831
2,10.0,manhattan,leaf,-0.3463285973272994,18.775108338917622,1.3335697990426056
5,,euclidean,eom,0.6111213703055334,2267.5696836012735,1.4048721057645774
5,,euclidean,leaf,-0.13872122467345852,27.876115882017608,1.6868092419869203
5,,manhattan,eom,0.6263014329308971,2131.87942980594,1.3582480125676626
5,,manhattan,leaf,-0.15127079463432752,26.92196859692399,1.5856158506285476
5,5.0,euclidean,eom,0.6111213703055334,2267.5696836012735,1.4048721057645774
5,5.0,euclidean,leaf,-0.13872122467345852,27.876115882017608,1.6868092419869203
5,5.0,manhattan,eom,0.6263014329308971,2131.87942980594,1.3582480125676626
5,5.0,manhattan,leaf,-0.15127079463432752,26.92196859692399,1.5856158506285476
5,10.0,euclidean,eom,0.6271615248756547,1622.5126448583774,2.1755102759561162
5,10.0,euclidean,leaf,0.03983399770407636,67.01007563733282,1.296334618748866
5,10.0,manhattan,eom,0.6195025652904282,1455.0474306060555,2.23677245125831
5,10.0,manhattan,leaf,0.026127603041248282,50.68290952304651,1.6741773360629222
10,,euclidean,eom,0.6271615248756547,1622.5126448583774,2.1755102759561162
10,,euclidean,leaf,0.4594473028627776,342.7271278336626,1.6496140735990672
10,,manhattan,eom,0.6195025652904282,1455.0474306060555,2.23677245125831
10,,manhattan,leaf,0.5856432650013371,1196.9664287431178,1.410857550100747
10,5.0,euclidean,eom,0.6488443150536883,2698.640528290258,1.4868123091021277
10,5.0,euclidean,leaf,0.26374592968847577,137.51810912666886,1.4015802733592309
10,5.0,manhattan,eom,0.6460868434520448,2345.6700921601955,1.9718444858790167
10,5.0,manhattan,leaf,0.2303011708226476,118.97288911516803,1.6043828070615045
10,10.0,euclidean,eom,0.6271615248756547,1622.5126448583774,2.1755102759561162
10,10.0,euclidean,leaf,0.4594473028627776,342.7271278336626,1.6496140735990672
10,10.0,manhattan,eom,0.6195025652904282,1455.0474306060555,2.23677245125831
10,10.0,manhattan,leaf,0.5856432650013371,1196.9664287431178,1.410857550100747
