min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.05454640675541376,15.048753063502659,1.2360023798581126
2,,euclidean,leaf,0.003619134141972869,8.695570581192687,1.225635314809099
2,,manhattan,eom,0.062984682938279,16.121250443399305,1.223213213470679
2,,manhattan,leaf,0.009392542160921178,8.815265552696728,1.2281113740158387
2,5.0,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
2,5.0,euclidean,leaf,-0.4440205228330613,5.410010354093577,1.2717062707535876
2,5.0,manhattan,eom,-0.12812510725021653,1251.6912870976082,1.923025793101809
2,5.0,manhattan,leaf,-0.36509953536070616,4.781393074546603,1.2916293063648983
2,10.0,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
2,10.0,euclidean,leaf,-0.6486548492440326,4.020985301963664,1.3452255363265775
2,10.0,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
2,10.0,manhattan,leaf,-0.5127130321748936,3.3102987242479305,1.410620740028772
5,,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
5,,euclidean,leaf,-0.34885985108201584,19.236411646440892,1.2393200896444916
5,,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
5,,manhattan,leaf,-0.3404767936725795,17.565590371186243,1.2314943767724669
5,5.0,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
5,5.0,euclidean,leaf,-0.34885985108201584,19.236411646440892,1.2393200896444916
5,5.0,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
5,5.0,manhattan,leaf,-0.3404767936725795,17.565590371186243,1.2314943767724669
5,10.0,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
5,10.0,euclidean,leaf,-0.48950813033309093,23.57662658055299,1.2793887024063701
5,10.0,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
5,10.0,manhattan,leaf,-0.4953128566382922,18.989392981556165,1.295271272621187
10,,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
10,,euclidean,leaf,-0.43637976489773767,36.6254439089603,1.2613519704544058
10,,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
10,,manhattan,leaf,-0.40312524645236697,40.808391364701265,1.2746250301961557
10,5.0,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
10,5.0,euclidean,leaf,-0.3272000268597033,39.22690151172146,1.2620873194192346
10,5.0,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
10,5.0,manhattan,leaf,-0.33068749724938173,35.90475124681722,1.2564846618437029
10,10.0,euclidean,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
10,10.0,euclidean,leaf,-0.43637976489773767,36.6254439089603,1.2613519704544058
10,10.0,manhattan,eom,0.36733109590793084,3751.7304672665023,1.0988998676613282
10,10.0,manhattan,leaf,-0.40312524645236697,40.808391364701265,1.2746250301961557
