min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.07031337505976623,19.428080504718164,1.3088737151311485
2,,euclidean,leaf,0.026726819103779123,13.926433572379812,1.3202498938182752
2,,manhattan,eom,0.03304355402576611,17.267815489656254,1.275224552627043
2,,manhattan,leaf,-0.005018805899322375,14.366591024290159,1.2381142020955804
2,5.0,euclidean,eom,0.5266842142398358,390.7835606003349,2.841886118204999
2,5.0,euclidean,leaf,-0.3853757752293105,6.590255286386008,1.7000432479054939
2,5.0,manhattan,eom,0.5921059787243853,906.1224416211996,2.130978515435895
2,5.0,manhattan,leaf,-0.4281486003048378,7.825346953388016,1.6286962928728312
2,10.0,euclidean,eom,0.5938304728414336,741.1828955973375,2.0654126828097956
2,10.0,euclidean,leaf,-0.5569624858721536,12.891747647774674,1.3280473165747726
2,10.0,manhattan,eom,0.5858835254152313,811.6313285284075,2.38966710657846
2,10.0,manhattan,leaf,-0.5856303259912147,13.253522184132262,1.340268066502778
5,,euclidean,eom,0.5962017376995038,814.1561199646302,2.158357258410171
5,,euclidean,leaf,-0.3530948588489428,13.439276778719135,1.61465854328253
5,,manhattan,eom,0.5921059787243853,906.1224416211996,2.130978515435895
5,,manhattan,leaf,-0.2387114037806778,32.54725734048673,1.166806104375675
5,5.0,euclidean,eom,0.5962017376995038,814.1561199646302,2.158357258410171
5,5.0,euclidean,leaf,-0.3530948588489428,13.439276778719135,1.61465854328253
5,5.0,manhattan,eom,0.5921059787243853,906.1224416211996,2.130978515435895
5,5.0,manhattan,leaf,-0.2387114037806778,32.54725734048673,1.166806104375675
5,10.0,euclidean,eom,0.5938304728414336,741.1828955973375,2.0654126828097956
5,10.0,euclidean,leaf,-0.39211388802670555,51.56705066618451,1.1532153887307675
5,10.0,manhattan,eom,0.5858835254152313,811.6313285284075,2.38966710657846
5,10.0,manhattan,leaf,-0.4085287664570673,48.316106823207924,1.1452236482930664
10,,euclidean,eom,0.5938304728414336,741.1828955973375,2.0654126828097956
10,,euclidean,leaf,-0.3148292201889671,76.12105233737226,1.1245618382938751
10,,manhattan,eom,0.5858835254152313,811.6313285284075,2.38966710657846
10,,manhattan,leaf,-0.3130787578058893,149.6670100900555,1.1263709337552552
10,5.0,euclidean,eom,0.5962017376995038,814.1561199646302,2.158357258410171
10,5.0,euclidean,leaf,-0.20803094223074198,57.325557744440204,1.1870451458174716
10,5.0,manhattan,eom,0.43526396839487297,655.3307401524596,3.4973339698086403
10,5.0,manhattan,leaf,-0.17800651149092123,132.4590445470028,1.1105893128344633
10,10.0,euclidean,eom,0.5938304728414336,741.1828955973375,2.0654126828097956
10,10.0,euclidean,leaf,-0.3148292201889671,76.12105233737226,1.1245618382938751
10,10.0,manhattan,eom,0.5858835254152313,811.6313285284075,2.38966710657846
10,10.0,manhattan,leaf,-0.3130787578058893,149.6670100900555,1.1263709337552552
